PARK,ATTENDANCE,year,Region
The Barnacle,28890,2005,SouthEast
Forest Capital,28755,2005,NorthCentral
Bulow Plantation Ruins,27081,2005,CentralEast
Nature & Heritage Tourism Center,26297,2005,NorthCentral
Wacasassa Bay,25253,2005,NorthCentral
Little Manatee River,24170,2005,CentralWest
Big Shoals,23361,2005,NorthCentral
Ybor City,22587,2005,CentralWest
Perdido Key,22242,2005,NorthWest
Torreya,20442,2005,NorthWest
Camp Helen,20120,2005,NorthWest
Cedar Key State Museum,19582,2005,NorthCentral
Fort Mose,19449,2005,NorthEast
Fort Cooper,19058,2005,CentralWest
Marjorie Kinnan Rawlings,18824,2005,NorthCentral
Three Rivers,18093,2005,NorthWest
Crystal River Arch. Site,17891,2005,CentralWest
Tosohatchee,17404,2005,Central
Savannas,17193,2005,CentralEast
Lignumvitae Key,16731,2005,SouthEast
Cedar Key Scrub,16505,2005,NorthCentral
Haw Creek,16111,2005,NorthEast
Dade Battlefield,15027,2005,Central
Madison Blue Springs,14933,2005,NorthCentral
Letchworth Mounds,14664,2005,NorthCentral
Rock Springs Run,14577,2005,NorthCentral
St. Lucie Inlet,14046,2005,CentralEast
Lake Talquin/River Bluff,13496,2005,NorthCentral
Key Largo Hammock,13165,2005,SouthEast
Natural Bridge Battlefield,11826,2005,NorthCentral
Dudley Farm,11549,2005,NorthCentral
Windley Key,11173,2005,SouthEast
Troy Springs,10740,2005,NorthCentral
Lafayette Blue Springs,10648,2005,NorthCentral
Econfina River,9883,2005,NorthCentral
Indian Key,9375,2005,SouthEast
San Marcos de Apalache,9359,2005,NorthCentral
Kissimmee Prairie,8807,2005,CentralEast
Lower Wekiva River,8160,2005,Central
Tarkiln Bayou,7874,2005,NorthWest
Estero Bay,7670,2005,SouthWest
Seabranch,7651,2005,CentralEast
Peacock Springs,6534,2005,NorthCentral
Deer Lake,6325,2005,NorthWest
Terra Ceia,4421,2005,CentralWest
River Rise,4013,2005,NorthCentral
Mound Key,3545,2005,SouthWest
Navarre Beach State Park,3012,2005,NorthWest
Madira Bickel Mound,2989,2005,CentralWest
Catfish Creek,2671,2005,Central
John Gorrie Museum,2294,2005,NorthCentral
Dunn's Creek,1988,2005,NorthEast
Lake June Scrub,1637,2005,Central
Constitution Convention,1481,2005,NorthWest
Hernando DeSoto,1243,2005,CentralWest
Orman House,948,2005,NorthCentral
Pumpkin Hill Creek,871,2005,NorthEast
Atlantic Ridge,422,2005,SouthEast
Charlotte Harbor,313,2005,SouthWest
San Pedro,74,2005,SouthEast
Honeymoon Island,976553,2006,CentralWest
St. Andrews,890590,2006,NorthWest
John Pennekamp Coral Reef,861045,2006,SouthEast
Lover's Key,851944,2006,SouthWest
Cape Florida,782132,2006,SouthEast
Sebastian Inlet,712256,2006,CentralEast
Gasparilla Island,581735,2006,SouthWest
